Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Swimming Pool,Gym,Exact Opening Hours,Typical Hourly Rate (PKR)
Net Masters Academy,Nazimabad,Cricket Nets,Outdoor,No,No,6:00 AM – 10:00 PM,"1,800 – 3,000"
Net Smash Badminton Club,PECHS,Badminton,Indoor,No,No,3:00 PM – 9:00 PM,"2,400 – 3,600"
NetGain Cricket Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,600 – 2,700"
NetKings Arena,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 12:00 AM,"1,500 – 2,500"
NetMaster Indoor Arena,North Karachi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,600 – 4,400"
NetMasters Arena,North Karachi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,400 – 4,100"
NetMasters Cricket,Nazimabad No.4,Cricket Nets,Indoor,No,No,5:00 PM – 12:00 AM,"1,500 – 2,500"
NetMasters Cricket Nets,Landhi,Cricket Nets,Outdoor,No,No,6:00 AM – 7:00 PM,"1,500 – 2,200"
NetMasters Indoor Arena,North Karachi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,500 – 4,300"
NetPlay Arena,Gulberg,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,300 – 3,900"
NetPro Arena,Baldia Town,Cricket Nets,Outdoor,No,No,5:00 PM – 12:00 AM,"1,600 – 2,700"
NetPro Cricket Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,600 – 2,600"
NetZone Indoor Cricket,North Karachi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,500 – 4,300"
Night Owl Cricket Arena,Gulshan-e-Maymar,Indoor Cricket,Indoor,No,Yes,7:00 PM – 3:00 AM,"5,500 – 8,500"
Night Owls Cricket Arena,North Karachi,Indoor Cricket,Indoor,No,Yes,6:00 PM – 2:00 AM,"3,600 – 6,000"
Night Strike Cricket Arena,Korangi,Indoor Cricket,Indoor,No,Yes,6:00 PM – 2:00 AM,"3,900 – 6,500"
NIPA Cricket Nets,NIPA Chowrangi,Cricket Nets,Outdoor,No,No,7:00 AM – 9:00 PM,"1,800 – 3,000"
NIPA Gym & Fitness Center,NIPA Chowrangi,"Gym, Badminton",Indoor,No,Yes,7:00 AM – 10:00 PM,"3,300 – 5,000"
NIPA Sports Club,NIPA Chowrangi,"Gym, Cricket Nets, Table Tennis",Indoor,No,Yes,8:00 AM – 10:00 PM,3500 - 6000
North Karachi Badminton,North Karachi,Badminton,Indoor,No,No,7:00 AM – 10:00 PM,"2,500 – 3,500"
North Karachi Cricket,North Karachi,Cricket,Outdoor,No,No,7:00 AM – 9:00 PM,"1,500 – 3,000"
North Karachi Gymkhana,North Karachi,"Gym, Cricket, Table Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,3500 - 6000
North Karachi Indoor Sports,North Karachi,"Indoor Cricket, Padel, Gym",Indoor,No,Yes,10:00 AM – 11:00 PM,4000 - 7000
North Karachi Sports Club,North Karachi,"Cricket, Basketball, Swimming",Indoor/Outdoor,Yes,No,7:00 AM – 9:00 PM,4000 - 7000
North Karachi Sports Hub,North Karachi,"Cricket, Gym, Basketball",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,000 – 3,500"
North Nazimabad Courts,North Nazimabad,"Cricket, Basketball",Outdoor,No,No,7:00 AM – 9:00 PM,0
North Nazimabad Courts,North Nazimabad,"Cricket, Basketball",Outdoor,No,No,7:00 AM – 9:00 PM,0
North Nazimabad Gym & Sports,North Nazimabad,"Gym, Cricket Nets, Basketball",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,2000 - 4500
North Nazimabad Sports,North Nazimabad,"Cricket, Basketball",Outdoor,No,No,7:00 AM – 9:00 PM,0
North Nazimabad Sports Complex,North Nazimabad,"Cricket, Basketball, Table Tennis, Gym",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,2000 - 4500
North Nazimabad Tennis,North Nazimabad,Tennis,Outdoor,No,No,7:00 AM – 8:00 PM,"1,800 – 3,000"
North Padel Point,North Nazimabad,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"4,500 – 6,500"
North Star Cricket Ground,North Karachi,Outdoor Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,0
North Star Indoor Arena,North Nazimabad,Indoor Cricket,Indoor,No,No,5:00 PM – 1:00 AM,"2,500 – 4,500"
North Town Sports Ground,North Karachi,"Cricket, Football",Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,500"
Nova Gym,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,500 – 2,700"
Ocean Blue Swim Center,Clifton Block 7,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,500 – 5,500"
Ocean Blue Swim Center,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,200 – 6,400"
Ocean Breeze Swim Academy,Clifton,Swimming Pool,Indoor,Yes,No,6:30 AM – 9:00 PM,"4,000 – 5,800"
Ocean Breeze Swim Club,Defence Phase 6,Swimming Pool,Indoor,Yes,Yes,6:00 AM – 9:00 PM,"5,000 – 7,000"
Ocean Edge Pool,DHA Phase 5,Swimming Pool,Outdoor,Yes,No,7:00 AM – 9:00 PM,"2,500 – 4,000"
Ocean Kickoff,Seaview,Beach Football,Outdoor,No,No,7:00 AM – 6:00 PM,"2,000 – 3,500"
Ocean Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"2,500 – 4,000"
Ocean Swim Academy,Malir,Swimming Pool,Indoor,Yes,No,7:00 AM – 9:00 PM,"2,500 – 4,000"
Ocean View Jog & Fitness,Seaview,Outdoor Fitness,Outdoor,No,No,Sunrise – Sunset,0
OceanFit Club,Seaview,"Fitness, Beach Sports",Outdoor,No,Yes,6:00 AM – 9:00 PM,"700 – 1,200"
Oceanic Swim Center,Clifton Block 5,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,200 – 5,000"
Oceanic Swim Center,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,500 – 6,700"
Oceanic Swim Center,Gulshan-e-Iqbal,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"4,100 – 6,000"
Oceanic Swim Club,Gulshan-e-Iqbal,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,200 – 2,000"
Oceanic Swim Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"3,900 – 6,100"
Oceanic Swimming Club,DHA Phase 2,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"700 – 1,300"
OceanSplash Pool,Hawksbay Road,Swimming Pool,Outdoor,Yes,No,8:00 AM – 7:00 PM,"2,000 – 3,500"
Olympic Fitness Club,Gulberg,"Gym, Basketball",Indoor,No,Yes,6:00 AM – 10:00 PM,"700 – 1,400"
Olympic Sports Facility,Malir Cantt,Basketball,Outdoor,Gym,Yes,7:00 AM – 9:00 PM,0
Paddle Pro Courts,DHA Phase 1,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,000 – 8,000"
PaddleCourt,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"5,500 – 9,000"
PaddleHub Karachi,Clifton,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"5,500 – 9,000"
PaddleMaster Courts,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"5,300 – 8,700"
PaddlePro Courts,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"5,000 – 8,500"
PaddlePro Courts,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"5,200 – 8,800"
PaddleX Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,500 – 9,000"
Padel Hub,North Karachi,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,5000–7000
Padel One Karachi,Clifton,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,800 – 11,200"
Padel Republic,DHA Phase 7,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"6,500 – 8,500"
PadelOne Karachi,DHA Phase 8,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"8,000 – 13,000"
Padelverse,DHA Phase 5,Padel,Indoor,No,No,8:00 AM – 11:00 PM,"~8,000"
PadelX Karachi,Clifton,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"5,500 – 7,500"
PadelZone Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,700 – 11,000"
Pak Aqua Pool,North Nazimabad,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,200 – 2,100"
Pak Gym & Sports Club,North Nazimabad,"Gym, Indoor Cricket",Indoor,No,Yes,6:00 AM – 10:00 PM,"2,900 – 4,100"
Peak Performance Arena,DHA Phase 7,"Indoor Cricket, Padel",Indoor/Outdoor,No,Yes,7:00 AM – 12:00 AM,"7,000 – 12,000"
Peak Performance Gym,North Karachi,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"900 – 1,700"
Peak Performance Gym,DHA Phase 5,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"1,300 – 2,300"
PeakFit Gym,DHA Phase 5,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"1,350 – 2,350"
PECHS Basketball Court,PECHS,Basketball,Outdoor,No,No,5:00 PM – 10:00 PM,"0 / 1,000"
PECHS Cricket Grounds,PECHS,Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,"1,800 – 3,000"
PECHS Cricket Nets,PECHS,Cricket Nets,Outdoor,No,No,6:00 AM – 8:00 PM,"1,700 – 2,900"
Playfield Turf,Surjani Town,"Football, Cricket",Outdoor,No,No,6:00 AM – 12:00 AM,"2,500 – 4,400"
PlayFit Women Club,Nazimabad,"Gym, Fitness",Indoor,No,Yes,8:00 AM – 6:00 PM,500 – 900
PlayGround Turf,Surjani Town,"Football, Cricket",Outdoor,No,No,6:00 AM – 12:00 AM,"2,400 – 4,200"
PlayMax Sports Hub,Gulshan-e-Iqbal,"Indoor Cricket, Badminton",Indoor,No,Yes,10:00 AM – 12:00 AM,"3,200 – 5,400"
PlayMore Sports Hall,Saddar,"Indoor Cricket, TT",Indoor,No,No,10:00 AM – 11:00 PM,"2,500 – 4,000"
Playon Sports Complex,North Nazimabad,"Indoor Cricket, TT",Indoor,No,No,10:00 AM – 12:00 AM,"2,500 – 4,000"
PlayOn Turf,DHA Phase 2,"Cricket, Football",Outdoor,No,No,6:00 AM – 12:00 AM,"3,000 – 5,000"
PlayOn Turf,Surjani Town,"Football, Cricket",Outdoor,No,No,6:00 AM – 12:00 AM,"2,200 – 4,000"
PlayOn Turf,Surjani Town,"Football, Cricket",Outdoor,No,No,6:00 AM – 12:00 AM,"2,400 – 4,200"
PlayZone Arena,Baldia Town,Indoor Cricket,Futsal,No,No,10:00 AM – 10:00 PM,0
PlayZone Sports,Gulistan-e-Jauhar,"Cricket, Basketball",Outdoor,No,No,6:00 AM – 11:00 PM,"3,000 – 5,500"
PNS Sports Arena,Clifton,"Swimming, Gym, Cricket",Indoor/Outdoor,Yes,Yes,6:00 AM – 10:00 PM,"6,000 – 8,000"
PNS Sports Arena,Clifton,"Swimming, Gym, Cricket",Indoor/Outdoor,Yes,Yes,6:00 AM – 10:00 PM,"6,000 – 8,000"
PNS Sports Complex,Clifton,"Swimming Pool, Gym, Cricket",Indoor/Outdoor,Yes,Yes,6:00 AM – 10:00 PM,6000 - 8500
PNS Swimming Pool,Clifton,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,6000 - 8500
PNS Tennis Courts,Clifton,Tennis,Outdoor,No,No,8:00 AM – 10:00 PM,"2,800 – 4,000"
Power Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,500 – 2,600"
Power Indoor Cricket,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,7:00 AM – 12:00 AM,"6,200 – 9,200"
Power Play Indoor Arena,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,7:00 AM – 12:00 AM,"7,200 – 10,800"
Power Smash Indoor Arena,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,7:00 AM – 12:00 AM,"7,000 – 10,500"
Power Turf Karachi,Baldia Town,"Cricket, Football",Outdoor,No,No,6:00 AM – 11:00 PM,"2,800 – 4,800"
PowerCore Gym,Landhi,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,100 – 1,900"
PowerCourt Arena,Clifton,"Indoor Cricket, Badminton",Indoor,No,Yes,7:00 AM – 11:00 PM,"3,000 – 5,200"
Powerfit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,600 – 2,700"
Powerfit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,700 – 2,900"
PowerGym Fitness,DHA Phase 6,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"1,300 – 2,200"
PowerGym Fitness Studio,PECHS,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"2,200 – 3,800"
PowerHit Cricket Nets,DHA Phase 6,Cricket Nets,Indoor,No,No,6:00 PM – 12:00 AM,"2,200 – 3,600"
Powerhouse Fitness & Courts,Gulshan,"Gym, TT",Indoor,No,Yes,6:00 AM – 11:00 PM,300 – 800
PowerHouse Gym,PECHS,Gym,Indoor,No,Yes,6:00 AM – 11:00 PM,"800 – 1,500"
PowerHouse Gym,Gulshan-e-Iqbal,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,200 – 2,000"
Powerhouse Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,300 – 2,400"
Powerhouse Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,300 – 2,400"
Powerhouse Gym,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,900 – 3,200"
PowerHouse Gym,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"2,800 – 4,100"
PowerLift Arena,Gulberg,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,100 – 1,900"
PowerLift Gym,Korangi,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,000 – 1,700"
PowerNet Cricket,Baldia,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,300 – 2,400"
PowerPadel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,600 – 10,800"
PowerPlay Arena,Gulshan-e-Iqbal,"Indoor Cricket, Futsal",Indoor,No,No,4:00 PM – 2:00 AM,"3,000 – 5,000"
PowerPlay Arena,DHA Phase 8,"Indoor Cricket, Football",Indoor,No,No,5:00 PM – 2:00 AM,"5,000 – 8,000"
PowerPlay Indoor Arena,DHA Phase 2,Indoor Cricket,Indoor,No,No,5:00 PM – 1:00 AM,"2,500 – 4,200"
PowerPlay Indoor Arena,Korangi,"Indoor Cricket, Gym",Indoor,No,Yes,6:00 AM – 12:00 AM,"3,100 – 5,400"
PowerPlay Indoor Arena,DHA Phase 2,Indoor Cricket,Indoor,No,Yes,4:00 PM – 12:00 AM,"3,800 – 6,200"
PowerPlay Sports Zone,Gulistan-e-Johar,"Indoor Cricket, Badminton",Indoor,No,Yes,10:00 AM – 12:00 AM,"3,200 – 5,600"
Powerplay Turf,DHA Phase 7,"Cricket, Football",Outdoor,No,No,6:00 AM – 12:00 AM,"3,500 – 6,500"
PowerShot Arena,Korangi,Indoor Cricket,Indoor,No,No,4:00 PM – 12:00 AM,"2,200 – 3,800"
PowerZone Gym,Orangi Town,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"900 – 1,500"
Premier Padel Club,Scheme 33,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"4,500 – 7,500"
Premier Padel Courts,Clifton,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,500 – 10,500"
Premier Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"10,800 – 16,500"
Prestige Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"10,200 – 15,800"
Prestige Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"11,000 – 17,000"
Prestige Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"11,400 – 17,400"
Prestige Padel Courts,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"12,000 – 18,200"
Prime Cricket Nets,Korangi,Cricket Nets,Outdoor,No,No,6:00 AM – 10:00 PM,"2,000 – 3,200"
Prime Fitness Arena,Korangi,"Gym, Indoor Cricket",Indoor,No,Yes,7:00 AM – 10:00 PM,"3,200 – 4,800"
Prime Fitness Club,Gulshan-e-Iqbal,"Gym, Tennis, Cricket",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,200 – 3,800"
Prime Fitness Courts,North Nazimabad,"Gym, Badminton, TT",Indoor,No,Yes,6:00 AM – 10:00 PM,"700 – 1,500"
Prime Padel Club,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"7,000 – 11,800"
Prime Play Indoor Arena,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,7:00 AM – 12:00 AM,"7,400 – 11,000"
Prime Sports Club,Gulshan-e-Iqbal,"Cricket, Gym, Padel",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,000 – 3,500"
Prime Sports Dome,DHA Phase 9,"Indoor Cricket, Football",Indoor,No,No,5:00 PM – 2:00 AM,"5,500 – 9,000"
Primefit Gym,Korangi Industrial,Gym,Indoor,No,Yes,6:00 AM – 9:00 PM,"1,800 – 3,000"
PrimeTennis Courts,Clifton,Tennis,Outdoor,No,No,7:00 AM – 10:00 PM,"3,700 – 6,000"
Pro Badminton Academy,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,700 – 2,900"
Pro Indoor Sports Arena,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,8:00 AM – 11:00 PM,"7,300 – 10,400"
Pro Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"10,000 – 15,500"
Pro Play Indoor Arena,Gulshan-e-Maymar,"Indoor Cricket, Gym",Indoor,No,Yes,7:00 AM – 12:00 AM,"7,300 – 10,900"
Pro Shuttle Badminton,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,500 – 2,700"
Pro Shuttle Badminton,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"2,000 – 3,200"
Pro Smash Badminton,PECHS,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"2,200 – 3,400"
ProBowl Cricket Nets,DHA Phase 6,Cricket Nets,Indoor,No,No,6:00 PM – 12:00 AM,"2,100 – 3,500"
ProBowl Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,300 – 2,300"
ProBowl Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,300 – 2,300"
ProBowl Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,400 – 2,400"
ProCourt Padel,PECHS,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"6,400 – 10,000"
ProEdge Fitness Club,Korangi,"Gym, Badminton",Indoor,No,Yes,6:00 AM – 10:00 PM,"600 – 1,200"
ProEdge Indoor Arena,Gulberg,Indoor Cricket,Indoor,No,Yes,6:00 PM – 1:00 AM,"4,500 – 7,000"
ProGoal Football Turf,Landhi,Football,Outdoor,No,No,6:00 AM – 11:00 PM,"3,400 – 5,500"
ProKick Turf,Gulshan-e-Maymar,"Football, Cricket",Outdoor,No,No,6:00 AM – 12:00 AM,"2,500 – 4,200"
ProLine Cricket Arena,Gulshan-e-Johar,Indoor Cricket,Indoor,No,Yes,5:00 PM – 12:00 AM,"3,400 – 5,800"
ProNet Cricket Nets,Orangi Town,Cricket Nets,Outdoor,No,No,5:00 PM – 11:00 PM,"1,300 – 2,300"
ProServe Badminton,Malir,Badminton,Indoor,No,No,5:00 PM – 11:00 PM,"1,200 – 2,200"
ProServe Courts,Clifton,"Tennis, Padel",Outdoor,No,No,7:00 AM – 10:00 PM,"4,000 – 7,000"
ProServe Table Tennis Club,Saddar,Table Tennis,Indoor,No,No,8:00 AM – 8:00 PM,"800 – 1,500"
ProServe Tennis Courts,Clifton,Tennis,Outdoor,No,No,7:00 AM – 10:00 PM,"3,800 – 6,400"
ProShot Basketball Arena,Gulshan-e-Iqbal,Basketball,Indoor,No,No,5:00 PM – 11:00 PM,"2,500 – 4,200"
ProSpin Table Tennis Club,PECHS,Table Tennis,Indoor,No,No,9:00 AM – 9:00 PM,400 – 900
ProTennis Courts,Clifton,Tennis,Outdoor,No,No,7:00 AM – 10:00 PM,"3,700 – 6,100"
Public Sports Ground,Keamari,"Cricket, Basketball",Outdoor,No,No,6:00 AM – 8:00 PM,0
Pulse Fitness Arena,Gulshan-e-Iqbal,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"800 – 1,400"
Pulse Gym,North Nazimabad,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"2,200 – 3,500"
Rangers Sports Ground,Korangi Creek,"Cricket, Football",Outdoor,No,No,6:00 AM – 8:00 PM,0
Rapid Indoor Sports,Liaquatabad,Indoor Cricket,Indoor,No,Yes,5:00 PM – 12:00 AM,"3,300 – 5,500"
Rapid Kick Turf,Malir,Football,Outdoor,No,No,6:00 AM – 11:00 PM,"2,400 – 4,000"
Rapid Nets,DHA Phase 7,Cricket Nets,Indoor,No,No,6:00 PM – 1:00 AM,"1,800 – 3,000"
Rapid Swim Academy,Malir Cantt,Swimming Pool,Indoor,Yes,No,6:00 AM – 8:00 PM,"1,800 – 3,200"
RapidFire Cricket Nets,Malir,Cricket Nets,Outdoor,No,No,6:00 AM – 9:00 PM,"1,700 – 2,900"
RapidFire Indoor Cricket,Federal B Area,Indoor Cricket,Indoor,No,Yes,6:00 PM – 1:00 AM,"4,200 – 6,700"
RapidFit Gym,North Karachi,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,"1,000 – 1,700"
RapidStrike Cricket Arena,North Karachi,Indoor Cricket,Indoor,No,Yes,4:00 PM – 12:00 AM,"3,300 – 5,500"
Red Hawks Football Ground,Korangi,Football,Outdoor,No,No,6:00 AM – 9:00 PM,"0 – 1,600"
Rising Athletes Center,Gulshan-e-Maymar,"Gym, Basketball",Indoor,No,Yes,6:00 AM – 9:00 PM,"600 – 1,200"
Rising Star Cricket Academy,Malir,Cricket Training,Outdoor,No,No,8:00 AM – 7:00 PM,"2,000 – 4,000"
Rising Stars Academy,Korangi,Cricket Training,Outdoor,No,No,7:00 AM – 7:00 PM,"1,200 – 2,500"
Rising Stars Ground,Malir,"Cricket, Football",Outdoor,No,No,6:00 AM – 8:00 PM,0
Rising Talent Academy,New Karachi,Cricket Training,Outdoor,No,No,8:00 AM – 6:00 PM,"1,800 – 3,500"
Riverside Sports Club,Malir,"Cricket, Gym",Outdoor/Indoor,No,Yes,7:00 AM – 9:00 PM,"3,500 – 5,200"
Royal Cricket Arena,DHA Phase 1,Indoor Cricket,Indoor,No,Yes,5:00 PM – 12:00 AM,"3,600 – 6,000"
Royal Fitness & Courts,Bahadurabad,Gym,Table Tennis,Indoor,No,6:00 AM – 10:00 PM,0
Royal Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"10,500 – 16,000"
Royal Padel Courts,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"11,600 – 17,600"
Royal Padel Courts,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,"12,000 – 18,500"
Royal Padel Karachi,DHA Phase 6,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,"5,500 – 8,000"
Royal Sports Complex,Saddar,"Cricket, Basketball",Outdoor,No,No,4:00 PM – 10:00 PM,"2,000 – 3,800"
Royal Sports Complex,Clifton,"Cricket, Gym, Tennis",Indoor/Outdoor,No,Yes,7:00 AM – 10:00 PM,"2,200 – 3,700"
RushTurf Landhi,Landhi,Football,Outdoor,No,No,6:00 AM – 11:00 PM,"2,900 – 4,800"
Saddar Cricket Ground,Saddar,Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,"1,000 – 2,000"
Saddar Gymnasium,Saddar,"Gym, Table Tennis",Indoor,No,Yes,7:00 AM – 10:00 PM,"2,800 – 4,200"
Saddar Padel Courts,Saddar,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,6000 - 8000
Saddar Sports Complex,Saddar,"Basketball, Table Tennis, Gym",Indoor/Outdoor,No,Yes,7:30 AM – 9:30 PM,2000 - 5000
Saddar Table Tennis Club,Saddar,Table Tennis,Indoor,No,No,8:00 AM – 8:00 PM,1500 - 3500
Sapphire Swim Club,PECHS,Swimming Pool,Indoor,Yes,No,6:00 AM – 9:00 PM,"1,500 – 2,700"
Scheme 33 Sports Club,Scheme 33,"Cricket, Basketball, Gym, Swimming",Outdoor,Yes,Yes,6:00 AM – 8:00 PM,3000 - 6000
Sea Breeze Cricket Nets,Malir,Cricket Nets,Outdoor,No,No,6:00 AM – 7:00 PM,"1,500 – 2,300"
Sea Breeze Padel,Seaview,Padel,Outdoor,No,No,7:00 AM – 10:00 PM,5500–7500
Seaview Fitness Track,DHA Phase 8,Outdoor Fitness,Outdoor,No,No,Sunrise – Sunset,0
Seaview Sports Zone,Seaview,"Volleyball, Cricket",Outdoor,No,No,6:00 AM – 9:00 PM,0
SeaWave Swim Club,DHA Phase 5,Swimming Pool,Indoor,Yes,No,6:30 AM – 8:30 PM,"1,450 – 2,350"
ServePro TT Club,Nazimabad,Table Tennis,Indoor,No,No,9:00 AM – 9:00 PM,500 – 900
Shah Faisal Sports Club,Shah Faisal Colony,"Cricket, Gym",Outdoor/Indoor,No,Yes,7:00 AM – 9:00 PM,"3,200 – 5,000"
Shaheen Cricket Ground,Shah Faisal Colony,Outdoor Cricket,Outdoor,No,No,6:00 AM – 8:00 PM,0
SheStrong Wellness Studio,PECHS,"Gym, Fitness",Indoor,No,Yes,8:00 AM – 6:00 PM,"750 – 1,350"
Shuttle Ace Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,700 – 2,900"
Shuttle Champion Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,800 – 3,000"
Shuttle Elite Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,900 – 3,100"
Shuttle Elite Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"2,200 – 3,400"
Shuttle Kings,Malir,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,200 – 2,000"
Shuttle Master Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"2,100 – 3,300"
Shuttle Pro Badminton,Gulshan-e-Iqbal,Badminton,Indoor,No,No,4:00 PM – 9:00 PM,"1,400 – 2,500"
Shuttle Pro Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,600 – 2,700"
Shuttle Pro Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"2,000 – 3,200"
Shuttle Smash Club,Saddar,Badminton,Indoor,No,No,4:00 PM – 10:00 PM,"1,400 – 2,400"
